,word,tf,abstract,url,date
13,envy,1.0,Diaper need causes more anxiety than food or housing insecurity for some mothers.,https://www.nytimes.com/2021/03/17/parenting/diaper-bank-coronavirus.html,2021-03-17
21,health,1.0,Diaper need causes more anxiety than food or housing insecurity for some mothers.,https://www.nytimes.com/2021/03/17/parenting/diaper-bank-coronavirus.html,2021-03-17
24,nervousness,2.0,Diaper need causes more anxiety than food or housing insecurity for some mothers.,https://www.nytimes.com/2021/03/17/parenting/diaper-bank-coronavirus.html,2021-03-17
53,real_estate,1.0,Diaper need causes more anxiety than food or housing insecurity for some mothers.,https://www.nytimes.com/2021/03/17/parenting/diaper-bank-coronavirus.html,2021-03-17
57,fear,2.0,Diaper need causes more anxiety than food or housing insecurity for some mothers.,https://www.nytimes.com/2021/03/17/parenting/diaper-bank-coronavirus.html,2021-03-17
60,business,1.0,Diaper need causes more anxiety than food or housing insecurity for some mothers.,https://www.nytimes.com/2021/03/17/parenting/diaper-bank-coronavirus.html,2021-03-17
64,cooking,1.0,Diaper need causes more anxiety than food or housing insecurity for some mothers.,https://www.nytimes.com/2021/03/17/parenting/diaper-bank-coronavirus.html,2021-03-17
77,eating,1.0,Diaper need causes more anxiety than food or housing insecurity for some mothers.,https://www.nytimes.com/2021/03/17/parenting/diaper-bank-coronavirus.html,2021-03-17
88,restaurant,1.0,Diaper need causes more anxiety than food or housing insecurity for some mothers.,https://www.nytimes.com/2021/03/17/parenting/diaper-bank-coronavirus.html,2021-03-17
93,neglect,1.0,Diaper need causes more anxiety than food or housing insecurity for some mothers.,https://www.nytimes.com/2021/03/17/parenting/diaper-bank-coronavirus.html,2021-03-17
121,urban,1.0,Diaper need causes more anxiety than food or housing insecurity for some mothers.,https://www.nytimes.com/2021/03/17/parenting/diaper-bank-coronavirus.html,2021-03-17
122,shopping,1.0,Diaper need causes more anxiety than food or housing insecurity for some mothers.,https://www.nytimes.com/2021/03/17/parenting/diaper-bank-coronavirus.html,2021-03-17
138,sadness,2.0,Diaper need causes more anxiety than food or housing insecurity for some mothers.,https://www.nytimes.com/2021/03/17/parenting/diaper-bank-coronavirus.html,2021-03-17
149,economics,1.0,Diaper need causes more anxiety than food or housing insecurity for some mothers.,https://www.nytimes.com/2021/03/17/parenting/diaper-bank-coronavirus.html,2021-03-17
188,giving,1.0,Diaper need causes more anxiety than food or housing insecurity for some mothers.,https://www.nytimes.com/2021/03/17/parenting/diaper-bank-coronavirus.html,2021-03-17
392,wedding,1.0,Noelle Howey’s son is almost 4. He is not potty-trained.,https://parenting.blogs.nytimes.com/2010/06/04/diapers-in-kindergarten/,2010-06-04
403,family,1.0,Noelle Howey’s son is almost 4. He is not potty-trained.,https://parenting.blogs.nytimes.com/2010/06/04/diapers-in-kindergarten/,2010-06-04
471,death,1.0,Noelle Howey’s son is almost 4. He is not potty-trained.,https://parenting.blogs.nytimes.com/2010/06/04/diapers-in-kindergarten/,2010-06-04
525,youth,1.0,Noelle Howey’s son is almost 4. He is not potty-trained.,https://parenting.blogs.nytimes.com/2010/06/04/diapers-in-kindergarten/,2010-06-04
573,children,1.0,Noelle Howey’s son is almost 4. He is not potty-trained.,https://parenting.blogs.nytimes.com/2010/06/04/diapers-in-kindergarten/,2010-06-04
682,order,1.0,Disposable-diaper banks in Chicago are hard-pressed to keep up with the demand from low-income mothers.,https://www.nytimes.com/2010/12/12/us/12cncdiaper.html,2010-12-12
