,PCA Component 1,PCA Component 2,Cluster Label,URL,Abstract,Date
0,0.10168878038807393,0.015156793651851618,7,https://www.nytimes.com/2021/03/17/parenting/diaper-bank-coronavirus.html,Diaper need causes more anxiety than food or housing insecurity for some mothers.,2021-03-17
1,-0.052852587545415934,-0.04257290826759696,2,https://krugman.blogs.nytimes.com/2012/02/06/diapers-and-deflation/,"Basic economics, still relevant.",2012-02-06
3,0.006924909516056178,-0.036545872870448984,2,https://parenting.blogs.nytimes.com/2010/06/04/diapers-in-kindergarten/,Noelle Howey’s son is almost 4. He is not potty-trained.,2010-06-04
4,0.11094360839133612,0.059768701625064036,2,https://www.nytimes.com/2010/12/12/us/12cncdiaper.html,Disposable-diaper banks in Chicago are hard-pressed to keep up with the demand from low-income mothers.,2010-12-12
6,0.5329674893660161,0.23233726639073074,3,https://parenting.blogs.nytimes.com/2013/07/10/diapers-that-give-t-m-i/,Would you buy a diaper that analyzed what comes out of your baby as thoroughly as you analyze what goes in?,2013-07-10
8,-0.006282438774748211,-0.014563004574144625,2,https://tmagazine.blogs.nytimes.com/2010/06/08/obsessions-diaper-burn/,"There’s a collective form of magical thinking going on, in which our infants wear Oxford shirts and trade stocks online.",2010-06-08
10,0.15649418588665825,0.183370503499549,0,https://www.nytimes.com/2010/05/25/business/media/25adco.html,A new Huggies ad for diapers in a blue jeans pattern does not shy away from the “P” words.,2010-05-24
11,-0.023734828726304672,-0.07466281608692531,1,https://www.nytimes.com/2012/04/07/sports/golf/fathers-playing-at-masters-juggle-golf-and-family.html,"Work-life conflicts are standard for fathers everywhere, and dads who happen to be playing in the Masters are no exception.",2012-04-07
12,-0.018045519340938176,-0.015531918491623286,2,https://www.nytimes.com/2011/02/13/automobiles/autoreviews/mazda-5-review.html,"The new Mazda 5 is distinguished from other minivans by its small size, a design that is more common in Europe and Japan, where such minivans are called “multipurpose vehicles.”",2011-02-11
13,-0.008027316030470794,-0.01139496691715326,2,https://www.nytimes.com/2010/01/17/travel/17prackidnap.html,"Travel and legal experts say a variety of factors need be considered when taking a minor abroad, including paperwork for different surnames.",2010-01-11
