,abstracts,lead_paragraph,url,date,document_type,news_desk
0,Diaper need causes more anxiety than food or housing insecurity for some mothers.,"If your child is not potty trained, how many diapers do you have on hand right now? That’s a question I certainly wouldn’t have been able to answer with any specificity when my children were babies. But it’s a question that parents who struggle to afford the expense — about $70-$80 per month, per baby — can answer easily, because managing diaper need is among their most significant anxieties.",https://www.nytimes.com/2021/03/17/parenting/diaper-bank-coronavirus.html,2021-03-17,article,Parenting
1,"Basic economics, still relevant.",Good article in Bloomberg:,https://krugman.blogs.nytimes.com/2012/02/06/diapers-and-deflation/,2012-02-06,article,
2,"After 25 hours of research, considering 30 different diapers, and testing 15 of them in a professional testing facility and at home, we think the budget Parent’s Choice and Up &amp; Up diapers both offer the best combinations of performance and value. Though their construction isn’t exactly the same, and they each scored a bit...","After 25 hours of research, considering 30 different diapers, and testing 15 of them in a professional testing facility and at home, we think the budget Parent’s Choice and Up &amp; Up diapers both offer the best combinations of performance and value. Though their construction isn’t exactly the same, and they each scored a bit...",https://www.nytimes.com/wirecutter/reviews/best-diapers/,2018-05-15,wirecutterarticle,
3,Noelle Howey’s son is almost 4. He is not potty-trained.,"Noelle Howey’s son is almost 4. He is not potty-trained. And on one hand, she has visions of him 10 years down the road “still obsessed with Batman and sporting ‘Toy Story 7’-themed training pants in XXL.”",https://parenting.blogs.nytimes.com/2010/06/04/diapers-in-kindergarten/,2010-06-04,article,Styles
4,Disposable-diaper banks in Chicago are hard-pressed to keep up with the demand from low-income mothers.,"Damikka Griffin, a social worker, would like it if her low-income clients did not have to choose between necessities like paying their phone bill and rent, or diapering their infants. When she can take diapers with her on a trip to a client’s home, it makes her job easier.",https://www.nytimes.com/2010/12/12/us/12cncdiaper.html,2010-12-12,article,National
5,"There are a number of reasons parents may choose cloth diapers over disposables, including reducing cost, reducing waste, or simply the way cloth diapers look and feel on their baby’s bottom. After researching all the readily available cloth diapers we could find and recruiting six cloth-diapering families to compare top designs, we think the bumGenius...","There are a number of reasons parents may choose cloth diapers over disposables, including reducing cost, reducing waste, or simply the way cloth diapers look and feel on their baby’s bottom. After researching all the readily available cloth diapers we could find and recruiting six cloth-diapering families to compare top designs, we think the bumGenius...",https://www.nytimes.com/wirecutter/reviews/best-cloth-diapers/,2018-05-15,wirecutterarticle,
6,Would you buy a diaper that analyzed what comes out of your baby as thoroughly as you analyze what goes in?,Too much information.,https://parenting.blogs.nytimes.com/2013/07/10/diapers-that-give-t-m-i/,2013-07-10,article,
7,"A good adult diaper can open up the world for someone with incontinence, making daily life a whole lot easier. A reliable diaper allows you to see friends, go to the gym, and travel without anxiety about leakage, smells, or finding the nearest bathroom to change. After testing 15 adult diapers, we found that drugstore...","A good adult diaper can open up the world for someone with incontinence, making daily life a whole lot easier. A reliable diaper allows you to see friends, go to the gym, and travel without anxiety about leakage, smells, or finding the nearest bathroom to change. After testing 15 adult diapers, we found that drugstore...",https://www.nytimes.com/wirecutter/reviews/best-adult-diapers/,2024-05-31,wirecutterarticle,
8,"There’s a collective form of magical thinking going on, in which our infants wear Oxford shirts and trade stocks online.","I was thrilled and slightly horrified last week to discover that our local drugstore was now selling Huggies in a faux-denim pattern, with trompe l’oeil seams, back pockets and signs of denim distress. The diapers had already caused some controversy when ABC refused to air its commercial – a toddler pictured as a man-about-town dressed in a button-down Oxford shirt and denim diapers getting ogled by the ladies and climbing into a convertible – because it aired the word “pooping” on screen. The hypocrisy here is frankly hilarious, considering that the ABC program “Grey’s Anatomy” has used the word “douche” not in the medical sense, but as a pejorative put-down, and a character on the 1990’s ABC program “NYPD Blue” routinely used the word with its popular pairing, “bag.” Compared to that, what’s wrong with a little poop?",https://tmagazine.blogs.nytimes.com/2010/06/08/obsessions-diaper-burn/,2010-06-08,article,TStyle
9,"A dedicated diaper pail can make the hourly task of changing a baby’s diaper easier and conceal the stink of the discard pile. After testing 15 diaper pails, we found that the Munchkin Step Diaper Pail provides the best odor control and is the easiest to use. If you don’t want to have to buy...","A dedicated diaper pail can make the hourly task of changing a baby’s diaper easier and conceal the stink of the discard pile. After testing 15 diaper pails, we found that the Munchkin Step Diaper Pail provides the best odor control and is the easiest to use. If you don’t want to have to buy...",https://www.nytimes.com/wirecutter/reviews/best-diaper-pail/,2017-07-12,wirecutterarticle,
